month,excess_return
1926-01,-0.002405831237833461
1926-02,-0.03563588489734261
1926-03,-0.06687242661204959
1926-04,0.03381599556733329
1926-05,0.01263781780534659
1926-06,0.05016894605306957
1926-07,0.028679765976467604
1926-08,0.026022741176376325
1926-09,0.004131263662841573
1926-10,-0.032372674640184125
1926-11,0.02520532936928268
1926-12,0.02607877529427652
1927-01,-0.00018416186397644493
1927-02,0.04252997026606612
1927-03,0.0010291977428062175
1927-04,0.004998040306085213
1927-05,0.05478188603928532
1927-06,-0.024318236619879984
1927-07,0.07235160545058705
1927-08,0.020239724867590778
1927-09,0.04766164603766681
1927-10,-0.042897086654786275
1927-11,0.06600950306698393
1927-12,0.022337646046723322
1928-01,-0.00466604693156749
1928-02,-0.017218109169184252
1928-03,0.08736434891825164
1928-04,0.041094165413406436
1928-05,0.015112667462022032
1928-06,-0.04869207382629531
1928-07,0.0058965535918162676
1928-08,0.06696186105924493
1928-09,0.02870028204353796
1928-10,0.01447785304359538
1928-11,0.11768322352325988
1928-12,0.0027115528357990757
1929-01,0.05027472633519718
1929-02,-0.004148301234534095
1929-03,-0.010417159576047538
1929-04,0.013853505435477457
1929-05,-0.0643246862811122
1929-06,0.09629689088504079
1929-07,0.04094086730290463
1929-08,0.08266450482448791
1929-09,-0.05449606906528866
1929-10,-0.19963393554821876
1929-11,-0.12795978861085403
1929-12,0.012585659762939563
1930-01,0.05599558362274358
1930-02,0.02532475019132727
1930-03,0.07069134320296147
1930-04,-0.02247368547657959
1930-05,-0.01707594430136606
1930-06,-0.16148926753788076
1930-07,0.039642333915960073
1930-08,0.003217183959925279
1930-09,-0.1273544544918172
1930-10,-0.08747437728716993
1930-11,-0.028989439165827097
1930-12,-0.07913126331063991
1931-01,0.06311936774143946
1931-02,0.10897560024967945
1931-03,-0.0660879246441515
1931-04,-0.10109504934314825
1931-05,-0.135325379096913
1931-06,0.13987975444018638
1931-07,-0.0669783507646225
1931-08,0.002536421712304505
1931-09,-0.2923160043436117
1931-10,0.07975331787716983
1931-11,-0.09061119060501077
1931-12,-0.13657220987079174
1932-01,-0.012543218569915617
1932-02,0.05573106110293131
1932-03,-0.11279474889832897
1932-04,-0.1807500290946182
1932-05,-0.2078529467359557
1932-06,-0.005410056894541314
1932-07,0.3379007657706047
1932-08,0.3708204518760314
1932-09,-0.029071908573797225
1932-10,-0.13232250211356303
1932-11,-0.05834216658480148
1932-12,0.045556873854614335
1933-01,0.00998884684277356
1933-02,-0.1532366035344594
1933-03,0.030050671471931842
1933-04,0.39220242212219836
1933-05,0.2124880732015948
1933-06,0.1326717437729442
1933-07,-0.09620761269052229
1933-08,0.12030004777733827
1933-09,-0.10565047564642648
1933-10,-0.08331458014012422
1933-11,0.09951834014545517
1933-12,0.017792524616844062
1934-01,0.12566404206211723
1934-02,-0.02441364497301632
1934-03,0.004122009100794634
1934-04,-0.018197577787868485
1934-05,-0.072323998001939
1934-06,0.025919313232095405
1934-07,-0.10924403573920669
1934-08,0.056240283089704045
1934-09,-0.0021794671462565616
1934-10,-0.019058006346782733
1934-11,0.08204489371072116
1934-12,0.0033344445876978763
1935-01,-0.03348373790972224
1935-02,-0.019805998916847457
1935-03,-0.036480796446731044
1935-04,0.09062731564332942
1935-05,0.03425546115195702
1935-06,0.05773941638631992
1935-07,0.07293386693259543
1935-08,0.02530921901692353
1935-09,0.025155402644469402
1935-10,0.06941888253536845
1935-11,0.052449565737600796
1935-12,0.046660429243716765
1936-01,0.0691814116959127
1936-02,0.025605112484452935
1936-03,0.008124975438513244
1936-04,-0.08120618155847645
1936-05,0.05197012428135145
1936-06,0.024294735508349163
1936-07,0.06570080521206366
1936-08,0.010810755914776121
1936-09,0.011870163127056525
1936-10,0.07122461995765651
1936-11,0.03268813698472175
1936-12,0.002230330469476183
1937-01,0.03285898964529442
1937-02,0.012976855728047573
1937-03,-0.0026260723446599105
1937-04,-0.07561799725603921
1937-05,-0.007539240141905275
1937-06,-0.042127874978737136
1937-07,0.08935798475301822
1937-08,-0.04877869029860589
1937-09,-0.13669652007468472
1937-10,-0.09561982690904436
1937-11,-0.08327472800075912
1937-12,-0.04134269454181403
1938-01,0.0065007975968681625
1938-02,0.057907873498144524
1938-03,-0.23878133192889642
1938-04,0.14501225497072667
1938-05,-0.038618951455120294
1938-06,0.23785980801326684
1938-07,0.07204517839071899
1938-08,-0.027029493768872502
1938-09,0.008895374908336594
1938-10,0.07878193390918245
1938-11,-0.018233677345282275
1938-12,0.0415056851602839
1939-01,-0.06030139255313668
1939-02,0.035234437437352835
1939-03,-0.12070049337913454
1939-04,-0.0020541442377498
1939-05,0.06900264226066949
1939-06,-0.05397586172918867
1939-07,0.10096960533823461
1939-08,-0.06715975073140161
1939-09,0.16128957010897768
1939-10,-0.004063621566193863
1939-11,-0.0371218759964364
1939-12,0.028697867615404007
1940-01,-0.02397087749074179
1940-02,0.01473556121677536
1940-03,0.01859348383694865
1940-04,0.000989511424900496
1940-05,-0.22146695830940982
1940-06,0.06705976232200707
1940-07,0.03191417235029555
1940-08,0.024600851377296888
1940-09,0.023155670121339664
1940-10,0.030019792880183752
1940-11,-0.017114096029441698
1940-12,0.0068921957671157965
1941-01,-0.04128719350222493
1941-02,-0.013728147430327173
1941-03,0.009433396663960973
1941-04,-0.05409601130481164
1941-05,0.012890618290974229
1941-06,0.05843143330476319
1941-07,0.05927616511977435
1941-08,-0.0010793542810570175
1941-09,-0.007743411519439965
1941-10,-0.05308524847016417
1941-11,-0.020663482621048078
1941-12,-0.04692988424099911
1942-01,0.008673661712963581
1942-02,-0.02378280641496036
1942-03,-0.0655279745227676
1942-04,-0.04359865136386579
1942-05,0.06024692798918124
1942-06,0.025456180523541247
1942-07,0.034874907986131846
1942-08,0.018184476791611524
1942-09,0.02690023977442676
1942-10,0.06859898771924344
1942-11,0.0006277998570837249
1942-12,0.05118934746563627
1943-01,0.07292005610005486
1943-02,0.06040538874931554
1943-03,0.06144954767639276
1943-04,0.007150248310860506
1943-05,0.05700346151124474
1943-06,0.01715181168693711
1943-07,-0.04801122322745743
1943-08,0.01318714786562173
1943-09,0.02376290230322602
1943-10,-0.01183706805684285
1943-11,-0.06031619956552555
1943-12,0.06387778527416896
1944-01,0.01777638629190552
1944-02,0.0033161743355299917
1944-03,0.02441728002608954
1944-04,-0.01662896972218188
1944-05,0.050617544095473324
1944-06,0.056671346798587895
1944-07,-0.015528222795399171
1944-08,0.015424167612072662
1944-09,0.0002704371322330467
1944-10,0.001574357853885662
1944-11,0.0164790247701215
1944-12,0.0408332633272138
1945-01,0.019972453966513894
1945-02,0.06405992268129558
1945-03,-0.039348017987148196
1945-04,0.07787211225524118
1945-05,0.017946194304962908
1945-06,0.004361477300071202
1945-07,-0.02231079229297795
1945-08,0.06187933421541775
1945-09,0.04795439513385936
1945-10,0.038347505509015486
1945-11,0.05442405709820879
1945-12,0.012701763101433903
1946-01,0.06281293087865551
1946-02,-0.05836491142369858
1946-03,0.05765807044224413
1946-04,0.04197650803426896
1946-05,0.03985485144733734
1946-06,-0.03886434571653023
1946-07,-0.026661388659744097
1946-08,-0.0648201148094088
1946-09,-0.10229025464197998
1946-10,-0.014462537886600194
1946-11,0.0003244054313273329
1946-12,0.05012087451679766
1947-01,0.012690901804919621
1947-02,-0.011432484039982798
1947-03,-0.01717164166720854
1947-04,-0.047968119566585615
1947-05,-0.00993533560653096
1947-06,0.05282655145552808
1947-07,0.041008086406665985
1947-08,-0.017787528429271674
1947-09,-0.005066040144223019
1947-10,0.02427171591490306
1947-11,-0.019579793577739046
1947-12,0.029820197553091263
1948-01,-0.03865211681238095
1948-02,-0.04406122593418515
1948-03,0.08166413456030186
1948-04,0.03688556608762372
1948-05,0.07381542928546071
1948-06,-0.0011317018613907024
